eps,min_samples,n_clusters,n_noise,noise_frac,n_core,n_border,silhouette,davies_bouldin,calinski_harabasz
2.629002327975167,2,3,4,0.2,16,0,0.7345499636674943,0.32834507629131476,74.01520567366755
2.629002327975167,2,3,4,0.2,16,0,0.7345499636674943,0.32834507629131476,74.01520567366755
2.629002327975167,2,3,4,0.2,16,0,0.7345499636674943,0.32834507629131476,74.01520567366755
2.629002327975167,3,3,4,0.2,12,4,0.7345499636674943,0.32834507629131476,74.01520567366754
2.629002327975167,4,2,8,0.4,8,4,0.7428320329093716,0.31861336894452313,54.50983745042234
2.6853380921460634,2,3,4,0.2,16,0,0.7345499636674943,0.32834507629131476,74.01520567366755
2.6853380921460634,2,3,4,0.2,16,0,0.7345499636674943,0.32834507629131476,74.01520567366755
2.6853380921460634,2,3,4,0.2,16,0,0.7345499636674943,0.32834507629131476,74.01520567366755
2.6853380921460634,3,3,4,0.2,13,3,0.7345499636674943,0.32834507629131476,74.01520567366754
2.6853380921460634,4,2,7,0.35,10,3,0.7383287968217622,0.34484296080068844,62.56042263311416
2.7416738563169596,2,3,4,0.2,16,0,0.7345499636674943,0.32834507629131476,74.01520567366755
2.7416738563169596,2,3,4,0.2,16,0,0.7345499636674943,0.32834507629131476,74.01520567366755
2.7416738563169596,2,3,4,0.2,16,0,0.7345499636674943,0.32834507629131476,74.01520567366755
2.7416738563169596,3,3,4,0.2,15,1,0.7345499636674943,0.32834507629131476,74.01520567366755
2.7416738563169596,4,2,7,0.35,10,3,0.7383287968217622,0.34484296080068844,62.56042263311416
2.798009620487856,2,3,4,0.2,16,0,0.7345499636674943,0.32834507629131476,74.01520567366755
2.798009620487856,2,3,4,0.2,16,0,0.7345499636674943,0.32834507629131476,74.01520567366755
2.798009620487856,2,3,4,0.2,16,0,0.7345499636674943,0.32834507629131476,74.01520567366755
2.798009620487856,3,3,4,0.2,15,1,0.7345499636674943,0.32834507629131476,74.01520567366755
2.798009620487856,4,2,7,0.35,10,3,0.7383287968217622,0.34484296080068844,62.56042263311416
2.8543453846587528,2,3,4,0.2,16,0,0.7345499636674943,0.32834507629131476,74.01520567366755
2.8543453846587528,2,3,4,0.2,16,0,0.7345499636674943,0.32834507629131476,74.01520567366755
2.8543453846587528,2,3,4,0.2,16,0,0.7345499636674943,0.32834507629131476,74.01520567366755
2.8543453846587528,3,3,4,0.2,15,1,0.7345499636674943,0.32834507629131476,74.01520567366755
2.8543453846587528,4,2,7,0.35,10,3,0.7383287968217622,0.34484296080068844,62.56042263311416
2.910681148829649,2,3,4,0.2,16,0,0.7345499636674943,0.32834507629131476,74.01520567366755
2.910681148829649,2,3,4,0.2,16,0,0.7345499636674943,0.32834507629131476,74.01520567366755
2.910681148829649,2,3,4,0.2,16,0,0.7345499636674943,0.32834507629131476,74.01520567366755
2.910681148829649,3,3,4,0.2,15,1,0.7345499636674943,0.32834507629131476,74.01520567366755
2.910681148829649,4,2,7,0.35,10,3,0.7383287968217622,0.34484296080068844,62.56042263311416
2.9670169130005455,2,3,4,0.2,16,0,0.7345499636674943,0.32834507629131476,74.01520567366755
2.9670169130005455,2,3,4,0.2,16,0,0.7345499636674943,0.32834507629131476,74.01520567366755
2.9670169130005455,2,3,4,0.2,16,0,0.7345499636674943,0.32834507629131476,74.01520567366755
2.9670169130005455,3,3,4,0.2,15,1,0.7345499636674943,0.32834507629131476,74.01520567366755
2.9670169130005455,4,2,7,0.35,10,3,0.7383287968217622,0.34484296080068844,62.56042263311416
3.023352677171442,2,3,4,0.2,16,0,0.7345499636674943,0.32834507629131476,74.01520567366755
3.023352677171442,2,3,4,0.2,16,0,0.7345499636674943,0.32834507629131476,74.01520567366755
3.023352677171442,2,3,4,0.2,16,0,0.7345499636674943,0.32834507629131476,74.01520567366755
3.023352677171442,3,3,4,0.2,15,1,0.7345499636674943,0.32834507629131476,74.01520567366755
3.023352677171442,4,2,7,0.35,10,3,0.7383287968217622,0.34484296080068844,62.56042263311416
3.079688441342338,2,3,4,0.2,16,0,0.7345499636674943,0.32834507629131476,74.01520567366755
3.079688441342338,2,3,4,0.2,16,0,0.7345499636674943,0.32834507629131476,74.01520567366755
3.079688441342338,2,3,4,0.2,16,0,0.7345499636674943,0.32834507629131476,74.01520567366755
3.079688441342338,3,3,4,0.2,15,1,0.7345499636674943,0.32834507629131476,74.01520567366755
3.079688441342338,4,2,7,0.35,10,3,0.7383287968217622,0.34484296080068844,62.56042263311416
3.136024205513235,2,3,4,0.2,16,0,0.7345499636674943,0.32834507629131476,74.01520567366755
3.136024205513235,2,3,4,0.2,16,0,0.7345499636674943,0.32834507629131476,74.01520567366755
3.136024205513235,2,3,4,0.2,16,0,0.7345499636674943,0.32834507629131476,74.01520567366755
