eps,min_samples,n_clusters,n_noise,noise_frac,n_core,n_border,silhouette,davies_bouldin,calinski_harabasz
0.3218458307227536,2,1,2,0.18181818181818182,9,0,,,
0.3218458307227536,2,1,2,0.18181818181818182,9,0,,,
0.3218458307227536,2,1,2,0.18181818181818182,9,0,,,
0.3218458307227536,3,1,2,0.18181818181818182,9,0,,,
0.3218458307227536,4,1,2,0.18181818181818182,7,2,,,
0.32874252709538404,2,1,2,0.18181818181818182,9,0,,,
0.32874252709538404,2,1,2,0.18181818181818182,9,0,,,
0.32874252709538404,2,1,2,0.18181818181818182,9,0,,,
0.32874252709538404,3,1,2,0.18181818181818182,9,0,,,
0.32874252709538404,4,1,2,0.18181818181818182,7,2,,,
0.33563922346801445,2,1,2,0.18181818181818182,9,0,,,
0.33563922346801445,2,1,2,0.18181818181818182,9,0,,,
0.33563922346801445,2,1,2,0.18181818181818182,9,0,,,
0.33563922346801445,3,1,2,0.18181818181818182,9,0,,,
0.33563922346801445,4,1,2,0.18181818181818182,7,2,,,
0.3425359198406449,2,1,2,0.18181818181818182,9,0,,,
0.3425359198406449,2,1,2,0.18181818181818182,9,0,,,
0.3425359198406449,2,1,2,0.18181818181818182,9,0,,,
0.3425359198406449,3,1,2,0.18181818181818182,9,0,,,
0.3425359198406449,4,1,2,0.18181818181818182,7,2,,,
0.3494326162132753,2,1,2,0.18181818181818182,9,0,,,
0.3494326162132753,2,1,2,0.18181818181818182,9,0,,,
0.3494326162132753,2,1,2,0.18181818181818182,9,0,,,
0.3494326162132753,3,1,2,0.18181818181818182,9,0,,,
0.3494326162132753,4,1,2,0.18181818181818182,7,2,,,
0.3563293125859058,2,1,2,0.18181818181818182,9,0,,,
0.3563293125859058,2,1,2,0.18181818181818182,9,0,,,
0.3563293125859058,2,1,2,0.18181818181818182,9,0,,,
0.3563293125859058,3,1,2,0.18181818181818182,9,0,,,
0.3563293125859058,4,1,2,0.18181818181818182,7,2,,,
0.3632260089585362,2,1,2,0.18181818181818182,9,0,,,
0.3632260089585362,2,1,2,0.18181818181818182,9,0,,,
0.3632260089585362,2,1,2,0.18181818181818182,9,0,,,
0.3632260089585362,3,1,2,0.18181818181818182,9,0,,,
0.3632260089585362,4,1,2,0.18181818181818182,7,2,,,
0.37012270533116665,2,1,2,0.18181818181818182,9,0,,,
0.37012270533116665,2,1,2,0.18181818181818182,9,0,,,
0.37012270533116665,2,1,2,0.18181818181818182,9,0,,,
0.37012270533116665,3,1,2,0.18181818181818182,9,0,,,
0.37012270533116665,4,1,2,0.18181818181818182,7,2,,,
0.37701940170379705,2,1,2,0.18181818181818182,9,0,,,
0.37701940170379705,2,1,2,0.18181818181818182,9,0,,,
0.37701940170379705,2,1,2,0.18181818181818182,9,0,,,
0.37701940170379705,3,1,2,0.18181818181818182,9,0,,,
0.37701940170379705,4,1,2,0.18181818181818182,7,2,,,
0.3839160980764275,2,1,2,0.18181818181818182,9,0,,,
0.3839160980764275,2,1,2,0.18181818181818182,9,0,,,
0.3839160980764275,2,1,2,0.18181818181818182,9,0,,,
0.3839160980764275,3,1,2,0.18181818181818182,9,0,,,
0.3839160980764275,4,1,2,0.18181818181818182,7,2,,,
0.3908127944490579,2,1,2,0.18181818181818182,9,0,,,
0.3908127944490579,2,1,2,0.18181818181818182,9,0,,,
0.3908127944490579,2,1,2,0.18181818181818182,9,0,,,
0.3908127944490579,3,1,2,0.18181818181818182,9,0,,,
0.3908127944490579,4,1,2,0.18181818181818182,7,2,,,
0.3977094908216884,2,1,2,0.18181818181818182,9,0,,,
0.3977094908216884,2,1,2,0.18181818181818182,9,0,,,
0.3977094908216884,2,1,2,0.18181818181818182,9,0,,,
0.3977094908216884,3,1,2,0.18181818181818182,9,0,,,
0.3977094908216884,4,1,2,0.18181818181818182,7,2,,,
0.40460618719431884,2,1,2,0.18181818181818182,9,0,,,
0.40460618719431884,2,1,2,0.18181818181818182,9,0,,,
0.40460618719431884,2,1,2,0.18181818181818182,9,0,,,
0.40460618719431884,3,1,2,0.18181818181818182,9,0,,,
0.40460618719431884,4,1,2,0.18181818181818182,7,2,,,
0.41150288356694925,2,1,2,0.18181818181818182,9,0,,,
0.41150288356694925,2,1,2,0.18181818181818182,9,0,,,
0.41150288356694925,2,1,2,0.18181818181818182,9,0,,,
0.41150288356694925,3,1,2,0.18181818181818182,9,0,,,
0.41150288356694925,4,1,2,0.18181818181818182,7,2,,,
0.41839957993957966,2,1,2,0.18181818181818182,9,0,,,
0.41839957993957966,2,1,2,0.18181818181818182,9,0,,,
0.41839957993957966,2,1,2,0.18181818181818182,9,0,,,
0.41839957993957966,3,1,2,0.18181818181818182,9,0,,,
0.41839957993957966,4,1,2,0.18181818181818182,7,2,,,
0.4252962763122101,2,1,2,0.18181818181818182,9,0,,,
0.4252962763122101,2,1,2,0.18181818181818182,9,0,,,
0.4252962763122101,2,1,2,0.18181818181818182,9,0,,,
0.4252962763122101,3,1,2,0.18181818181818182,9,0,,,
0.4252962763122101,4,1,2,0.18181818181818182,7,2,,,
0.4321929726848406,2,1,2,0.18181818181818182,9,0,,,
0.4321929726848406,2,1,2,0.18181818181818182,9,0,,,
0.4321929726848406,2,1,2,0.18181818181818182,9,0,,,
0.4321929726848406,3,1,2,0.18181818181818182,9,0,,,
0.4321929726848406,4,1,2,0.18181818181818182,7,2,,,
0.439089669057471,2,1,2,0.18181818181818182,9,0,,,
0.439089669057471,2,1,2,0.18181818181818182,9,0,,,
0.439089669057471,2,1,2,0.18181818181818182,9,0,,,
0.439089669057471,3,1,2,0.18181818181818182,9,0,,,
0.439089669057471,4,1,2,0.18181818181818182,7,2,,,
0.4459863654301014,2,1,2,0.18181818181818182,9,0,,,
0.4459863654301014,2,1,2,0.18181818181818182,9,0,,,
0.4459863654301014,2,1,2,0.18181818181818182,9,0,,,
0.4459863654301014,3,1,2,0.18181818181818182,9,0,,,
0.4459863654301014,4,1,2,0.18181818181818182,7,2,,,
0.45288306180273186,2,1,2,0.18181818181818182,9,0,,,
0.45288306180273186,2,1,2,0.18181818181818182,9,0,,,
0.45288306180273186,2,1,2,0.18181818181818182,9,0,,,
0.45288306180273186,3,1,2,0.18181818181818182,9,0,,,
0.45288306180273186,4,1,2,0.18181818181818182,8,1,,,
0.4597797581753623,2,1,1,0.09090909090909091,10,0,,,
0.4597797581753623,2,1,1,0.09090909090909091,10,0,,,
0.4597797581753623,2,1,1,0.09090909090909091,10,0,,,
0.4597797581753623,3,1,1,0.09090909090909091,9,1,,,
0.4597797581753623,4,1,1,0.09090909090909091,8,2,,,
0.4666764545479927,2,1,1,0.09090909090909091,10,0,,,
0.4666764545479927,2,1,1,0.09090909090909091,10,0,,,
0.4666764545479927,2,1,1,0.09090909090909091,10,0,,,
0.4666764545479927,3,1,1,0.09090909090909091,9,1,,,
0.4666764545479927,4,1,1,0.09090909090909091,8,2,,,
0.47357315092062313,2,1,1,0.09090909090909091,10,0,,,
0.47357315092062313,2,1,1,0.09090909090909091,10,0,,,
0.47357315092062313,2,1,1,0.09090909090909091,10,0,,,
0.47357315092062313,3,1,1,0.09090909090909091,9,1,,,
0.47357315092062313,4,1,1,0.09090909090909091,9,1,,,
0.4804698472932536,2,1,1,0.09090909090909091,10,0,,,
0.4804698472932536,2,1,1,0.09090909090909091,10,0,,,
0.4804698472932536,2,1,1,0.09090909090909091,10,0,,,
0.4804698472932536,3,1,1,0.09090909090909091,9,1,,,
0.4804698472932536,4,1,1,0.09090909090909091,9,1,,,
0.48736654366588406,2,1,1,0.09090909090909091,10,0,,,
0.48736654366588406,2,1,1,0.09090909090909091,10,0,,,
0.48736654366588406,2,1,1,0.09090909090909091,10,0,,,
0.48736654366588406,3,1,1,0.09090909090909091,9,1,,,
0.48736654366588406,4,1,1,0.09090909090909091,9,1,,,
0.4942632400385145,2,1,1,0.09090909090909091,10,0,,,
0.4942632400385145,2,1,1,0.09090909090909091,10,0,,,
0.4942632400385145,2,1,1,0.09090909090909091,10,0,,,
0.4942632400385145,3,1,1,0.09090909090909091,9,1,,,
0.4942632400385145,4,1,1,0.09090909090909091,9,1,,,
0.501159936411145,2,1,1,0.09090909090909091,10,0,,,
0.501159936411145,2,1,1,0.09090909090909091,10,0,,,
0.501159936411145,2,1,1,0.09090909090909091,10,0,,,
0.501159936411145,3,1,1,0.09090909090909091,9,1,,,
0.501159936411145,4,1,1,0.09090909090909091,9,1,,,
0.5080566327837753,2,1,1,0.09090909090909091,10,0,,,
0.5080566327837753,2,1,1,0.09090909090909091,10,0,,,
0.5080566327837753,2,1,1,0.09090909090909091,10,0,,,
0.5080566327837753,3,1,1,0.09090909090909091,9,1,,,
0.5080566327837753,4,1,1,0.09090909090909091,9,1,,,
0.5149533291564058,2,1,1,0.09090909090909091,10,0,,,
0.5149533291564058,2,1,1,0.09090909090909091,10,0,,,
0.5149533291564058,2,1,1,0.09090909090909091,10,0,,,
0.5149533291564058,3,1,1,0.09090909090909091,9,1,,,
0.5149533291564058,4,1,1,0.09090909090909091,9,1,,,
0.5218500255290363,2,1,1,0.09090909090909091,10,0,,,
0.5218500255290363,2,1,1,0.09090909090909091,10,0,,,
0.5218500255290363,2,1,1,0.09090909090909091,10,0,,,
0.5218500255290363,3,1,1,0.09090909090909091,9,1,,,
0.5218500255290363,4,1,1,0.09090909090909091,9,1,,,
0.5287467219016666,2,1,1,0.09090909090909091,10,0,,,
0.5287467219016666,2,1,1,0.09090909090909091,10,0,,,
0.5287467219016666,2,1,1,0.09090909090909091,10,0,,,
0.5287467219016666,3,1,1,0.09090909090909091,9,1,,,
0.5287467219016666,4,1,1,0.09090909090909091,9,1,,,
0.5356434182742971,2,1,1,0.09090909090909091,10,0,,,
0.5356434182742971,2,1,1,0.09090909090909091,10,0,,,
0.5356434182742971,2,1,1,0.09090909090909091,10,0,,,
0.5356434182742971,3,1,1,0.09090909090909091,9,1,,,
0.5356434182742971,4,1,1,0.09090909090909091,9,1,,,
0.5425401146469275,2,1,1,0.09090909090909091,10,0,,,
0.5425401146469275,2,1,1,0.09090909090909091,10,0,,,
0.5425401146469275,2,1,1,0.09090909090909091,10,0,,,
0.5425401146469275,3,1,1,0.09090909090909091,9,1,,,
0.5425401146469275,4,1,1,0.09090909090909091,9,1,,,
0.549436811019558,2,1,1,0.09090909090909091,10,0,,,
0.549436811019558,2,1,1,0.09090909090909091,10,0,,,
0.549436811019558,2,1,1,0.09090909090909091,10,0,,,
0.549436811019558,3,1,1,0.09090909090909091,9,1,,,
0.549436811019558,4,1,1,0.09090909090909091,9,1,,,
0.5563335073921885,2,1,1,0.09090909090909091,10,0,,,
0.5563335073921885,2,1,1,0.09090909090909091,10,0,,,
0.5563335073921885,2,1,1,0.09090909090909091,10,0,,,
