bootstrap_iter,sample_size,ari_vs_full,n_clusters,noise_frac
0,16,0.950920245398773,4,0.1875
1,16,0.7837837837837838,5,0.1875
2,16,0.9726526891522334,4,0.125
3,16,0.6952380952380952,5,0.25
4,16,0.8125,4,0.1875
5,16,0.9443671766342142,4,0.1875
6,16,0.950920245398773,4,0.1875
7,16,0.8279569892473119,6,0.125
8,16,0.9443671766342142,4,0.1875
9,16,0.6360485268630849,3,0.3125
10,16,1.0,5,0.0625
11,16,0.9726526891522334,4,0.125
12,16,0.7763578274760383,4,0.1875
13,16,0.7992471769134254,3,0.3125
14,16,0.9757869249394673,4,0.125
15,16,1.0,5,0.0625
16,16,0.548306148055207,3,0.375
17,16,0.7992471769134254,3,0.3125
18,16,1.0,5,0.0625
19,16,0.8852333588370314,3,0.25
20,16,0.9375,4,0.1875
21,16,1.0,5,0.0625
22,16,0.875195007800312,4,0.25
23,16,1.0,5,0.0625
24,16,1.0,5,0.0625
25,16,0.875195007800312,4,0.25
26,16,1.0,5,0.0625
27,16,0.8245614035087719,5,0.125
28,16,0.9757869249394673,4,0.125
29,16,0.9757869249394673,4,0.125
30,16,0.7837837837837838,5,0.1875
31,16,1.0,5,0.0625
32,16,0.9443671766342142,4,0.1875
33,16,0.8477157360406091,5,0.125
34,16,0.7297297297297297,2,0.375
35,16,0.8192090395480226,3,0.3125
36,16,1.0,5,0.125
37,16,1.0,5,0.0625
38,16,0.875195007800312,4,0.25
39,16,0.7790055248618785,3,0.3125
40,16,0.7122302158273381,5,0.1875
41,16,0.950920245398773,4,0.1875
42,16,0.9757869249394673,4,0.125
43,16,0.7124600638977636,4,0.25
44,16,1.0,5,0.125
45,16,0.7692307692307693,4,0.1875
46,16,0.8279569892473119,6,0.125
47,16,0.9443671766342142,4,0.1875
48,16,0.7837837837837838,5,0.1875
49,16,1.0,5,0.125
50,16,0.803921568627451,5,0.1875
51,16,1.0,5,0.0625
52,16,1.0,5,0.125
53,16,0.8888888888888888,4,0.25
54,16,1.0,5,0.125
55,16,0.726027397260274,4,0.25
56,16,0.9757869249394673,4,0.125
57,16,1.0,5,0.0625
58,16,0.875195007800312,4,0.25
59,16,1.0,5,0.0
60,16,0.8477157360406091,5,0.125
61,16,1.0,5,0.0625
62,16,0.9375,4,0.1875
63,16,1.0,5,0.0625
64,16,0.9443671766342142,4,0.1875
65,16,0.548306148055207,3,0.375
66,16,0.8852333588370314,3,0.25
67,16,0.9315068493150684,4,0.1875
68,16,0.9757869249394673,4,0.125
69,16,0.9726526891522334,4,0.125
70,16,0.7113997113997114,4,0.25
71,16,0.950920245398773,4,0.1875
72,16,0.6333333333333333,4,0.3125
73,16,0.8721227621483376,3,0.25
74,16,1.0,5,0.125
75,16,0.625585023400936,4,0.3125
76,16,0.9375,4,0.1875
77,16,1.0,5,0.0625
78,16,0.9315068493150684,4,0.1875
79,16,1.0,5,0.0625
80,16,0.7837837837837838,5,0.1875
81,16,0.9375,4,0.1875
82,16,0.7715736040609137,5,0.1875
83,16,0.8721227621483376,3,0.25
84,16,0.6396396396396397,5,0.25
85,16,0.8852333588370314,3,0.25
86,16,0.9375,4,0.1875
87,16,0.8721227621483376,3,0.25
88,16,0.9726526891522334,4,0.125
89,16,0.9375,4,0.1875
90,16,0.9443671766342142,4,0.1875
91,16,0.9757869249394673,4,0.125
92,16,0.9757869249394673,4,0.125
93,16,0.9443671766342142,4,0.1875
94,16,1.0,5,0.0625
95,16,1.0,5,0.125
96,16,1.0,5,0.125
97,16,0.875195007800312,4,0.25
98,16,0.7992471769134254,3,0.3125
99,16,0.9443671766342142,4,0.1875
