eps,min_samples,n_clusters,n_noise,noise_frac,n_core,n_border,silhouette,davies_bouldin,calinski_harabasz
0.11044064146877539,2,5,6,0.3,14,0,0.6555016087563111,0.37642039336776256,98.42298813279531
0.11044064146877539,2,5,6,0.3,14,0,0.6555016087563111,0.37642039336776256,98.42298813279531
0.11044064146877539,2,5,6,0.3,14,0,0.6555016087563111,0.37642039336776256,98.42298813279531
0.11044064146877539,3,2,12,0.6,5,3,0.5116872033543944,0.6369462470773437,9.98594696622111
0.11044064146877539,4,1,16,0.8,1,3,,,
0.11280722664310629,2,5,6,0.3,14,0,0.6555016087563111,0.37642039336776256,98.42298813279531
0.11280722664310629,2,5,6,0.3,14,0,0.6555016087563111,0.37642039336776256,98.42298813279531
0.11280722664310629,2,5,6,0.3,14,0,0.6555016087563111,0.37642039336776256,98.42298813279531
0.11280722664310629,3,2,12,0.6,5,3,0.5116872033543944,0.6369462470773437,9.98594696622111
0.11280722664310629,4,1,15,0.75,3,2,,,
0.11517381181743719,2,5,6,0.3,14,0,0.6555016087563111,0.37642039336776256,98.42298813279531
0.11517381181743719,2,5,6,0.3,14,0,0.6555016087563111,0.37642039336776256,98.42298813279531
0.11517381181743719,2,5,6,0.3,14,0,0.6555016087563111,0.37642039336776256,98.42298813279531
0.11517381181743719,3,2,12,0.6,7,1,0.5116872033543944,0.6369462470773437,9.98594696622111
0.11517381181743719,4,1,15,0.75,3,2,,,
0.11754039699176809,2,5,6,0.3,14,0,0.6555016087563111,0.37642039336776256,98.42298813279531
0.11754039699176809,2,5,6,0.3,14,0,0.6555016087563111,0.37642039336776256,98.42298813279531
0.11754039699176809,2,5,6,0.3,14,0,0.6555016087563111,0.37642039336776256,98.42298813279531
0.11754039699176809,3,2,12,0.6,7,1,0.5116872033543944,0.6369462470773437,9.98594696622111
0.11754039699176809,4,1,15,0.75,3,2,,,
0.11990698216609899,2,5,6,0.3,14,0,0.6555016087563111,0.37642039336776256,98.42298813279531
0.11990698216609899,2,5,6,0.3,14,0,0.6555016087563111,0.37642039336776256,98.42298813279531
0.11990698216609899,2,5,6,0.3,14,0,0.6555016087563111,0.37642039336776256,98.42298813279531
0.11990698216609899,3,2,12,0.6,7,1,0.5116872033543944,0.6369462470773437,9.98594696622111
0.11990698216609899,4,1,15,0.75,3,2,,,
0.12227356734042989,2,5,6,0.3,14,0,0.6555016087563111,0.37642039336776256,98.42298813279531
0.12227356734042989,2,5,6,0.3,14,0,0.6555016087563111,0.37642039336776256,98.42298813279531
0.12227356734042989,2,5,6,0.3,14,0,0.6555016087563111,0.37642039336776256,98.42298813279531
0.12227356734042989,3,2,12,0.6,7,1,0.5116872033543944,0.6369462470773437,9.98594696622111
0.12227356734042989,4,1,15,0.75,3,2,,,
0.1246401525147608,2,5,4,0.2,16,0,0.5975800731568236,0.43471662271167644,73.16398235004247
0.1246401525147608,2,5,4,0.2,16,0,0.5975800731568236,0.43471662271167644,73.16398235004247
0.1246401525147608,2,5,4,0.2,16,0,0.5975800731568236,0.43471662271167644,73.16398235004247
0.1246401525147608,3,4,6,0.3,9,5,0.5428441289059104,0.5063331894865435,36.90945008645178
0.1246401525147608,4,1,15,0.75,3,2,,,
0.1270067376890917,2,5,4,0.2,16,0,0.5975800731568236,0.43471662271167644,73.16398235004247
0.1270067376890917,2,5,4,0.2,16,0,0.5975800731568236,0.43471662271167644,73.16398235004247
0.1270067376890917,2,5,4,0.2,16,0,0.5975800731568236,0.43471662271167644,73.16398235004247
0.1270067376890917,3,4,6,0.3,9,5,0.5428441289059104,0.5063331894865435,36.90945008645178
0.1270067376890917,4,1,15,0.75,3,2,,,
0.1293733228634226,2,5,3,0.15,17,0,0.5506861726702297,0.45703856101782137,57.8077387431139
0.1293733228634226,2,5,3,0.15,17,0,0.5506861726702297,0.45703856101782137,57.8077387431139
0.1293733228634226,2,5,3,0.15,17,0,0.5506861726702297,0.45703856101782137,57.8077387431139
0.1293733228634226,3,4,5,0.25,9,6,0.4933467713044981,0.5342356123692249,30.53361389593304
0.1293733228634226,4,1,14,0.7,3,3,,,
0.13173990803775348,2,5,2,0.1,18,0,0.4995418669475185,0.5366909420068103,42.00049346798707
0.13173990803775348,2,5,2,0.1,18,0,0.4995418669475185,0.5366909420068103,42.00049346798707
0.13173990803775348,2,5,2,0.1,18,0,0.4995418669475185,0.5366909420068103,42.00049346798707
0.13173990803775348,3,4,4,0.2,11,5,0.43945641236066496,0.633801088605461,21.98284976787164
0.13173990803775348,4,1,14,0.7,4,2,,,
0.1341064932120844,2,5,2,0.1,18,0,0.4995418669475185,0.5366909420068103,42.00049346798707
0.1341064932120844,2,5,2,0.1,18,0,0.4995418669475185,0.5366909420068103,42.00049346798707
0.1341064932120844,2,5,2,0.1,18,0,0.4995418669475185,0.5366909420068103,42.00049346798707
0.1341064932120844,3,4,4,0.2,11,5,0.43945641236066496,0.633801088605461,21.98284976787164
0.1341064932120844,4,1,14,0.7,4,2,,,
0.13647307838641531,2,5,2,0.1,18,0,0.4995418669475185,0.5366909420068103,42.00049346798707
0.13647307838641531,2,5,2,0.1,18,0,0.4995418669475185,0.5366909420068103,42.00049346798707
0.13647307838641531,2,5,2,0.1,18,0,0.4995418669475185,0.5366909420068103,42.00049346798707
0.13647307838641531,3,4,4,0.2,11,5,0.43945641236066496,0.633801088605461,21.98284976787164
0.13647307838641531,4,1,14,0.7,4,2,,,
0.1388396635607462,2,5,2,0.1,18,0,0.4995418669475185,0.5366909420068103,42.00049346798707
0.1388396635607462,2,5,2,0.1,18,0,0.4995418669475185,0.5366909420068103,42.00049346798707
0.1388396635607462,2,5,2,0.1,18,0,0.4995418669475185,0.5366909420068103,42.00049346798707
0.1388396635607462,3,4,4,0.2,11,5,0.43945641236066496,0.633801088605461,21.98284976787164
0.1388396635607462,4,1,14,0.7,4,2,,,
0.1412062487350771,2,5,2,0.1,18,0,0.4995418669475185,0.5366909420068103,42.00049346798707
0.1412062487350771,2,5,2,0.1,18,0,0.4995418669475185,0.5366909420068103,42.00049346798707
0.1412062487350771,2,5,2,0.1,18,0,0.4995418669475185,0.5366909420068103,42.00049346798707
0.1412062487350771,3,4,4,0.2,11,5,0.43945641236066496,0.633801088605461,21.98284976787164
0.1412062487350771,4,1,14,0.7,4,2,,,
0.143572833909408,2,5,2,0.1,18,0,0.4995418669475185,0.5366909420068103,42.00049346798707
0.143572833909408,2,5,2,0.1,18,0,0.4995418669475185,0.5366909420068103,42.00049346798707
0.143572833909408,2,5,2,0.1,18,0,0.4995418669475185,0.5366909420068103,42.00049346798707
0.143572833909408,3,4,4,0.2,11,5,0.43945641236066496,0.633801088605461,21.98284976787164
0.143572833909408,4,1,14,0.7,4,2,,,
0.14593941908373892,2,5,2,0.1,18,0,0.4995418669475185,0.5366909420068103,42.00049346798707
0.14593941908373892,2,5,2,0.1,18,0,0.4995418669475185,0.5366909420068103,42.00049346798707
0.14593941908373892,2,5,2,0.1,18,0,0.4995418669475185,0.5366909420068103,42.00049346798707
0.14593941908373892,3,4,4,0.2,11,5,0.43945641236066496,0.633801088605461,21.98284976787164
0.14593941908373892,4,1,14,0.7,4,2,,,
0.1483060042580698,2,5,2,0.1,18,0,0.4995418669475185,0.5366909420068103,42.00049346798707
0.1483060042580698,2,5,2,0.1,18,0,0.4995418669475185,0.5366909420068103,42.00049346798707
0.1483060042580698,2,5,2,0.1,18,0,0.4995418669475185,0.5366909420068103,42.00049346798707
0.1483060042580698,3,4,4,0.2,11,5,0.43945641236066496,0.633801088605461,21.98284976787164
0.1483060042580698,4,1,14,0.7,4,2,,,
0.1506725894324007,2,5,2,0.1,18,0,0.4995418669475185,0.5366909420068103,42.00049346798707
