True,Pri-GP(c=1),Pri-GP(c=0.5),PoE,GPoE,BCM,RBCM,MoE
0.0,0.18310828918391048,0.18310828918391048,0.18310828918391048,0.18310828918391048,0.22092832890521097,0.2271314646459046,0.18310828918391048
0.012578617838741058,0.013070910226731994,0.028094185840800093,0.18972153285239168,0.18972153285239168,0.22861519025814742,0.23506776532976661,0.18972153285239168
0.025155245389375847,0.02563616056418692,0.04034206954426553,0.19632385455797574,0.19632385455797577,0.23626994282852892,0.24297184682516507,0.19632385455797574
0.03772789267871718,0.038197422711985056,0.052585705332217327,0.20291431732443008,0.20291431732443008,0.24389167895755162,0.2508426375816168,0.20291431732443008
0.05029457036336618,0.05075270917032062,0.06482315732057645,0.20949198385985807,0.20949198385985807,0.25147949889237986,0.2586790774393714,0.20949198385985804
0.06285329004448194,0.06330003338172727,0.07705249050902338,0.21605591670203306,0.21605591670203303,0.25903251083555384,0.2664801177582803,0.21605591670203306
0.07540206458240159,0.07583741004540225,0.08927177108704439,0.22260517836408525,0.22260517836408528,0.2665498309911643,0.27424472153829094,0.22260517836408522
0.08793890841106125,0.0883628554313322,0.10147906673980418,0.2291388314805207,0.22913883148052067,0.2740305836078496,0.28197186353164116,0.22913883148052067
0.10046183785216795,0.10087438769417095,0.11367244695379693,0.2356559389535476,0.2356559389535476,0.2814739010186698,0.2896605303468282,0.23565593895354758
0.11296887142907283,0.11337002718681963,0.12584998332222677,0.24215556409968853,0.24215556409968847,0.28887892367791285,0.29730972054443705,0.24215556409968847
0.12545803018029603,0.12584779677365937,0.13800974985006997,0.2486367707966546,0.2486367707966546,0.29624480019489036,0.30491844472492136,0.24863677079665464
0.13792733797265358,0.13830572214338732,0.15014982325877055,0.2550986236304616,0.25509862363046154,0.30357068736478043,0.312485725608433,0.25509862363046154
0.1503748218139367,0.15074183212140593,0.16226828329052073,0.26154018804276075,0.26154018804276075,0.31085575019657374,0.3200105981068018,0.2615401880427607
0.1627985121650943,0.16315415898171703,0.1743632130120789,0.2679605304783646,0.26796053047836454,0.31809916193818033,0.3274921093877731,0.26796053047836454
0.17519644325186898,0.17554073875827014,0.18643269911807597,0.2743587185329439,0.27435871853294397,0.3253001040987585,0.33492931893161976,0.2743587185329439
0.18756665337583714,0.18789961155571674,0.19847483223376328,0.2807338211008702,0.2807338211008702,0.3324577664683191,0.34232129858023985,0.28073382110087014
0.19990718522480458,0.20022882185952076,0.21048770721715343,0.2870849085231832,0.2870849085231832,0.33957134713466897,0.34966713257887,0.28708490852318314
0.21221608618250787,0.21252641884537676,0.22246942346050674,0.29341105273565893,0.29341105273565893,0.3466400524977499,0.3569659176105357,0.29341105273565893
0.22449140863757258,0.22479045668788605,0.23441808519111498,0.2997113274169534,0.29971132741695344,0.35366309728143164,0.36421676282337023,0.2997113274169534
0.23673121029167973,0.23701899486844263,0.24633180177133546,0.3059848081367997,0.3059848081367997,0.36063970454282046,0.3714187898509387,0.3059848081367997
0.2489335544668916,0.24921009848228,0.25820868799782815,0.31223057250423425,0.3122305725042343,0.3675691056791412,0.3785711328257029,0.31223057250423425
0.2610965104120882,0.26136183854463013,0.2700468643999474,0.3184477003158283,0.31844770031582825,0.37445054043225134,0.3856729383857693,0.31844770031582825
0.27321815360846585,0.2734722922959462,0.2818444575372426,0.3246352737039002,0.32463527370390016,0.3812832568908495,0.3927233656750639,0.32463527370390016
0.28529656607404974,0.285539543506141,0.2935996002960189,0.3307923772846861,0.330792377284686,0.3880665114904348,0.3997215863370808,0.3307923772846861
0.2973298366671723,0.2975616827777927,0.3053104321849135,0.3369180983064414,0.3369180983064414,0.3947995690110769,0.4066667845023533,0.3369180983064414
0.30931606138886886,0.30953680784826987,0.3169750996294375,0.34301152679745417,0.34301152679745417,0.4014817025730583,0.4135581567698017,0.34301152679745417
0.32125334368414366,0.3214630238907282,0.32859175626544,0.34907175571394006,0.34907175571394006,0.40811219363044626,0.420394912182106,0.34907175571394
0.33313979474205757,0.3333384438139313,0.3401585632314462,0.35509788108780016,0.35509788108780016,0.41469033196265237,0.42717627219526716,0.3550978810878001
0.34497353379459045,0.34516118856084765,0.35167368945982236,0.36108900217421286,0.36108900217421286,0.4212154156640427,0.43390147064250423,0.36108900217421286
0.3567526884142317,0.3569293874059777,0.3631353119667244,0.3670442215990383,0.3670442215990383,0.42768675113165255,0.44056975369265494,0.36704422159903827
0.3684753948102499,0.36864117825136195,0.3745416161407817,0.37296264550600977,0.3729626455060098,0.43410365305106874,0.4471803798032334,0.3729626455060098
0.38013979812359666,0.38029470792122544,0.3858907960304706,0.3788433837036873,0.37884338370368736,0.44046544438053536,0.4537326196683074,0.3788433837036873
0.3917440527203973,0.391888132455211,0.39718105463013464,0.3846855498121492,0.38468554981214925,0.4467714563333417,0.4602257561613588,0.3846855498121492
0.4032863224839812,0.40341961740015386,0.40841060416460184,0.3904882614093975,0.3904882614093975,0.45302102835855157,0.4666590842732855,0.3904882614093975
0.41476478110540693,0.41488733810035383,0.4195776663723583,0.39625064017745193,0.39625064017745193,0.4592135081201314,0.47303191104571035,0.3962506401774519
0.4261776123724353,0.42628947998629707,0.4306804727872314,0.40197181204810745,0.40197181204810745,0.4653482514745339,0.4793435554997597,0.4019718120481074
0.4375230104569043,0.4376242388617818,0.4417172650185362,0.40765090734833215,0.40765090734833215,0.4714246224467957,0.4855933485604733,0.4076509073483321
0.4487991802004621,0.44888982118940496,0.45268629502964486,0.41328706094527945,0.41328706094527956,0.47744199320520725,0.49178063297701136,0.4132870609452795
0.46000433739861096,0.46008444437436125,0.4635858254149311,0.4188794123908908,0.41887941239089077,0.48339974403460856,0.49790476323881844,0.4188794123908909
0.47113670908301786,0.47120633704651166,0.47441412967504726,0.4244271060660627,0.4244271060660627,0.4892972633083722,0.5039651054879112,0.42442710606606265
0.4821945338020477,0.4822537393406768,0.485169492490491,0.42992929132435503,0.42992929132435503,0.4951339474591256,0.5099610374274471,0.429929291324355
0.4931760618994744,0.4932249031751104,0.49585020999341767,0.4353851226352161,0.4353851226352161,0.5009092009482731,0.5158919482267448,0.4353851226352161
0.5040795557913246,0.504118092528108,0.5064545900376543,0.4407937597266972,0.44079375972669715,0.5066224362343693,0.5217572384229057,0.4407937597266971
0.5149032902408126,0.514931583712709,0.5169809524668746,0.4461543677276351,0.4461543677276352,0.5122730737404048,0.5275563198192105,0.4461543677276351
0.5256455526313207,0.5256636656494468,0.5274276293808905,0.4514661173092757,0.45146611730927566,0.517860541820055,0.5332886153804406,0.4514661173092757
0.5363046432373825,0.5363126401371044,0.5377929654000188,0.45672818482631444,0.45672818482631444,0.5233842767229508,0.5389535591252899,0.4567281848263144
0.5468788754936273,0.5468768221214342,0.5480753179274809,0.4619397524573306,0.4619397524573306,0.5288437225590253,0.544550596016023,0.46193975245733054
0.5573665762616421,0.5573545399617957,0.5582730574097949,0.4671000083445869,0.46710000834458687,0.5342383312619895,0.5500791818455362,0.4671000083445869
0.5677660860947078,0.5677441356956741,0.5683845675951174,0.47220814673317624,0.4722081467331762,0.5395675625519968,0.5555387831219827,0.47220814673317624
0.5780757595003707,0.5780439653010319,0.5784082457894928,0.47726336810948167,0.4772633681094817,0.5448308838975443,0.5609288769511088,0.47726336810948167
0.588293965200805,0.5882523989564585,0.5883425031109749,0.4822648793389367,0.48226487933893675,0.5500277704766727,0.5662489509164659,0.48226487933893664
0.5984190863909268,0.5983678212990715,0.5981857647415744,0.48721189380305,0.48721189380304997,0.5551577051375113,0.571498502957641,0.48721189380304997
0.608449520994217,0.6083886316801302,0.6079364701769944,0.49210363153567854,0.4921036315356785,0.5602201783582287,0.5766770412466664,0.4921036315356785
0.6183836819162153,0.618313244418323,0.6175930734741162,0.49693931935852,0.4969393193585199,0.5652146882064392,0.5817840840627514,0.4969393193585199
0.6282199972956423,0.6281400890506861,0.6271540434961934,0.5017181910158027,0.5017181910158027,0.5701407402981218,0.5868191596654934,0.5017181910158027
0.6379569107531118,0.6378676105811145,0.6366178641557176,0.506439487308147,0.506439487308147,0.5749978477561009,0.5917818061667076,0.506439487308147
0.647592881637394,0.647494269726427,0.6459830346549146,0.5111024562255755,0.5111024562255755,0.5797855311681487,0.5966715714010306,0.5111024562255755
0.6571263852691885,0.6570185431599443,0.6552480697238355,0.5157063530796462,0.5157063530796462,0.5845033185447555,0.6014880127954372,0.5157063530796461
0.666555913182372,0.6664389237525441,0.6644114998560046,0.5202504406346866,0.5202504406346867,0.5891507452766288,0.6062306972378166,0.5202504406346866
0.675879973362679,0.6757539208111525,0.6734718715415833,0.5247339892381037,0.5247339892381038,0.5937273540919673,0.6108992009447515,0.5247339892381038
0.6850970904837809,0.6849620603146359,0.6824277474980187,0.5291562769497457,0.5291562769497457,0.5982326950135693,0.6154931093286411,0.5291562769497457
0.6942058061407225,0.6940618851470556,0.6912777068981351,0.5335165896702906,0.5335165896702906,0.6026663253158231,0.6200120168643053,0.5335165896702906
0.7032046790806838,0.7030519553282467,0.7000203455956343,0.5378142212686434,0.5378142212686435,0.6070278094816388,0.6244555269552157,0.5378142212686434
0.7120922854310254,0.7119308482416882,0.7086542763479705,0.54204847370831,0.54204847370831,0.6113167191593668,0.6288232517994812,0.54204847370831
0.720867218924585,0.7206971588596235,0.7171781290365608,0.5462186571727311,0.5462186571727312,0.6155326331197645,0.6331148122557333,0.5462186571727311
0.7295280911221884,0.7293494999654008,0.7255905508842986,0.5503240901895498,0.5503240901895499,0.6196751372130567,0.637329837709041,0.5503240901895498
0.7380735316323389,0.7378865023729938,0.7338902066703361,0.5543640997537895,0.5543640997537895,0.6237438243261483,0.641467965936989,0.5543640997537895
0.746502188328052,0.7463068151436714,0.7420757789421,0.5583380214499212,0.5583380214499213,0.627738294340039,0.645528842976053,0.5583380214499212
0.7548127275607989,0.7546091057997782,0.7501459682245052,0.5622451995727932,0.5622451995727931,0.6316581540874945,0.6495121229884034,0.5622451995727931
0.7630038343715272,0.7627920605355982,0.7580994932263397,0.5660849872474047,0.5660849872474047,0.6355030173110264,0.6534174681292635,0.5660849872474047
0.7710742126987247,0.7708543844252606,0.7659350910437798,0.5698567465474984,0.5698567465474983,0.6392725046212353,0.6572445484149557,0.5698567465474984
0.7790225855834911,0.7787948016276597,0.7736515173610073,0.5735598486129477,0.5735598486129477,0.642966243455568,0.6609930415917599,0.5735598486129477
0.7868476953715899,0.7866120555883583,0.7812475466478997,0.5771936737659216,0.5771936737659215,0.6465838680375433,0.6646626330057094,0.5771936737659215
0.7945483039124437,0.7943049092384356,0.788721972354754,0.5807576116257961,0.580757611625796,0.650125019336499,0.6682530154734522,0.580757611625796
0.8021231927550437,0.8018721451902541,0.7960736071040212,0.5842510612228015,0.5842510612228013,0.653589345027915,0.6717638891542997,0.5842510612228015
0.809571163340744,0.8093125659301141,0.8033012828790157,0.587673431110372,0.587673431110372,0.6569764994543605,0.6751949614235833,0.5876734311103718
0.8168910371929053,0.8166249940077619,0.8104038512095738,0.5910241394761835,0.5910241394761834,0.6602861435871255,0.6785459467474457,0.5910241394761835
0.8240816561033644,0.8238082722227246,0.817380183354626,0.5943026142518559,0.5943026142518559,0.6635179449885841,0.6818165665591802,0.5943026142518559
0.8311418823156935,0.8308612638074407,0.8242291704816603,0.5975082932212964,0.5975082932212965,0.6666715777753457,0.685006549137244,0.5975082932212964
0.8380705987052264,0.8377828526071593,0.8309497238430434,0.6006406241276642,0.6006406241276642,0.6697467225822449,0.6881156294850564,0.6006406241276642
0.8448667089558177,0.8445719432565764,0.8375407749491743,0.6036990647789374,0.6036990647789374,0.6727430665272272,0.6911435492127079,0.6036990647789373
0.8515291377333112,0.8512274613531832,0.8440012757384409,0.6066830831520557,0.6066830831520555,0.6756603031771777,0.6940900564206838,0.6066830831520555
0.8580568308556875,0.857748353627297,0.8503301987439537,0.6095921574956243,0.6095921574956243,0.6784981325147534,0.6969549055857288,0.6095921574956242
0.8644487554598649,0.8641335881087495,0.8565265372570302,0.6124257764311538,0.6124257764311539,0.6812562609062638,0.6997378574489591,0.6124257764311539
0.8707039001651274,0.8703821542902047,0.8625893054874029,0.6151834390528188,0.6151834390528188,0.6839344010706601,0.702438678906336,0.6151834390528188
0.8768212752331536,0.8764930632870814,0.8685175387201256,0.6178646550257116,0.6178646550257116,0.6865322720496815,0.7050571429016123,0.6178646550257115
0.8827999127246196,0.8824653479940533,0.8743102934691532,0.6204689446825754,0.6204689446825754,0.6890495991792126,0.7075930283218597,0.6204689446825754
0.8886388666523558,0.8882980632381059,0.8799666476275723,0.6229958391189937,0.6229958391189936,0.6914861140619055,0.7100461198956916,0.6229958391189936
0.8943372131310272,0.8939902859281207,0.8854857006144533,0.625444880287018,0.625444880287018,0.6938415545411182,0.71241620809428,0.6254448802870178
0.8998940505233182,0.8995411152009679,0.8908665735183083,0.6278156210872131,0.6278156210872132,0.6961156646762211,0.7147030890352813,0.6278156210872132
0.9053084995825966,0.90494967256408,0.8961084092371238,0.6301076254591041,0.6301076254591041,0.6983081947193256,0.7169065643897693,0.6301076254591041
0.9105797035920355,0.9102151020344887,0.901210372614953,0.6323204684700016,0.6323204684700016,0.7004189010934863,0.7190264412922844,0.6323204684700016
0.9157068285001692,0.9153365702742978,0.9061716505750398,0.6344537364021893,0.6344537364021894,0.7024475463724257,0.7210625322540974,0.6344537364021894
0.920689063052863,0.9203132667225746,0.9109914522494579,0.6365070268384578,0.636507026838458,0.7043938992618397,0.7230146550797902,0.6365070268384578
0.9255256189216778,0.9251444037236382,0.9156690091052421,0.6384799487459596,0.6384799487459597,0.7062577345823255,0.7248826327872523,0.6384799487459596
0.9302157308286042,0.929829216651722,0.9202035750669909,0.640372122558375,0.6403721225583751,0.7080388332539926,0.7266662935311932,0.640372122558375
0.934758656667151,0.9343669640319936,0.9245944266359223,0.6421831802563663,0.6421831802563663,0.7097369822827996,0.7283654705302623,0.6421831802563663
0.9391536776197676,0.9387569276579121,0.9288408630053638,0.6439127654463053,0.6439127654463053,0.7113519747486718,0.7299800019978759,0.6439127654463053
0.9434000982715812,0.9429984127049026,0.9329422061726572,0.645560533437255,0.6455605334372548,0.712883609795447,0.7315097310768406,0.645560533437255
0.9474972467204298,0.9470907478403326,0.9368978010474598,0.6471261513161908,0.6471261513161909,0.7143316926226977,0.732954505777864,0.6471261513161908
0.9514444746831766,0.9510332853297706,0.9407070155564258,0.6486092980214434,0.6486092980214433,0.7156960344794822,0.734314178922047,0.6486092980214434
0.9552411575982869,0.9548254011395116,0.9443692407442525,0.650009664414347,0.6500096644143469,0.7169764526600668,0.7355886080874365,0.6500096644143469
0.9588866947246497,0.9584664950353519,0.9478838908710695,0.6513269533490761,0.6513269533490762,0.7181727705016712,0.7367776555597308,0.6513269533490762
0.9623805092366334,0.9619559906775986,0.9512504035061632,0.652560879740659,0.6525608797406589,0.719284817384282,0.737881188287217,0.6525608797406589
0.9657220483153546,0.9652933357122995,0.9544682396180143,0.6537111706311447,0.6537111706311447,0.7203124287325782,0.7388990778400207,0.6537111706311447
0.9689107832361495,0.9684780018586762,0.9575368836606386,0.6547775652539178,0.654777565253918,0.7212554460200177,0.7398312003737495,0.654777565253918
0.9719462094522335,0.9715094849927491,0.960455843656215,0.6557598150961378,0.6557598150961379,0.7221137167751249,0.7406774365976014,0.6557598150961378
0.9748278466745341,0.9743873052271412,0.9632246512739877,0.6566576839592938,0.6566576839592937,0.7228870945900262,0.7414376717470165,0.6566576839592937
0.9775552389476861,0.9771110069870451,0.9658428619054309,0.6574709480178567,0.6574709480178568,0.7235754391312699,0.7421117955609371,0.6574709480178567
0.9801279547221765,0.9796801590823446,0.9683100547356613,0.6581993958760195,0.6581993958760195,0.7241786161529822,0.7426997022637489,0.6581993958760195
0.9825455869226277,0.9820943547758781,0.9706258328110913,0.658842828622505,0.6588428286225051,0.7246964975123847,0.743201290551964,0.658842828622505
0.984807753012208,0.9843532118478323,0.9727898231033067,0.6594010598834348,0.6594010598834347,0.7251289611877269,0.7436164635857112,0.6594010598834347
0.98691409505316,0.9864563726562566,0.9748016765691628,0.659873915873241,0.659873915873241,0.7254758912986601,0.7439451289850872,0.659873915873241
0.9888642797634357,0.9884035041936897,0.9766610682070863,0.6602612354436116,0.6602612354436115,0.7257371781290951,0.7441871988314289,0.6602612354436115
0.9906579985694317,0.9901942981398872,0.9783676971095767,0.6605628701304547,0.6605628701304548,0.7259127181525773,0.7443425896735578,0.6605628701304547
0.9922949676548136,0.9918284709106437,0.9799212865118947,0.6607786841988703,0.6607786841988703,0.7260024140602104,0.7444112225390384,0.6607786841988703
0.9937749280054242,0.9933057637027014,0.9813215838369346,0.6609085546861182,0.6609085546861182,0.7260061747911624,0.7443930229505057,0.6609085546861182
0.995097645450266,0.9946259425347355,0.9825683607362673,0.6609523714425695,0.6609523714425694,0.7259239155657851,0.7442879209470935,0.6609523714425694
0.9962629106985543,0.995788798284416,0.9836614131273551,0.6609100371706313,0.6609100371706313,0.7257555579213724,0.7440958511110045,0.6609100371706313
0.9972705393728327,0.9967941467215329,0.9846005612269234,0.660781467461636,0.660781467461636,0.7255010297505874,0.7438167525992544,0.660781467461636
0.9981203720381463,0.9976418285371834,0.9853856495804901,0.6605665908306777,0.6605665908306777,0.7251602653425797,0.7434505691806167,0.6605665908306777
0.9988122742272691,0.9983317093690167,0.9860165470880454,0.6602653487493948,0.6602653487493948,0.7247332054268182,0.7429972492777945,0.6602653487493948
0.9993461364619809,0.9988636798225319,0.9864931470258788,0.6598776956766822,0.6598776956766823,0.7242197972196608,0.7424567460148379,0.6598776956766823
0.9997218742703887,0.999237655488423,0.9868153670645468,0.6594035990873272,0.6594035990873272,0.7236199944736758,0.7418290172698204,0.6594035990873272
0.9999394282002937,0.9994535769559734,0.9869831492829821,0.6588430394985566,0.6588430394985566,0.7229337575297354,0.7411140257327875,0.6588430394985566
0.9999987638285974,0.9995114098224929,0.9869964601787401,0.6581960104944925,0.6581960104944923,0.7221610533718946,0.7403117389689801,0.6581960104944923
0.9998998717667489,0.9994111446987985,0.9868552906743777,0.6574625187484993,0.6574625187484993,0.7213018556850636,0.7394221294873341,0.6574625187484993
0.9996427676622299,0.9991527972107374,0.9865596561199713,0.6566425840434239,0.656642584043424,0.7203561449154905,0.738445174814251,0.656642584043424
0.9992274921960794,0.9987364079967511,0.9861095962917632,0.6557362392897131,0.6557362392897131,0.7193239083340514,0.7373808575726302,0.655736239289713
0.9986541110764565,0.9981620427014831,0.9855051753869447,0.6547435305414051,0.6547435305414052,0.7182051401023607,0.7362291655661451,0.6547435305414052
0.9979227150282433,0.9974297919654284,0.9847464820145708,0.6536645170099898,0.6536645170099898,0.716999841341699,0.7349900918687476,0.65366451700999
0.9970334197786902,0.9965397714106288,0.9838336291826134,0.6524992710761243,0.6524992710761242,0.7157080202047533,0.7336636349193635,0.6524992710761242
0.9959863660391044,0.9954921216224152,0.9827667542811478,0.6512478782992065,0.6512478782992065,0.7143296919501751,0.7322497986217616,0.6512478782992064
0.9947817194825853,0.9942870081271998,0.9815460190616809,0.6499104374247949,0.6499104374247949,0.7128648790199382,0.7307485924495435,0.6499104374247949
0.9934196707178107,0.9929246213663218,0.980171609612621,0.64848706038987,0.6484870603898701,0.7113136111194925,0.7291600315562201,0.64848706038987
0.991900435258877,0.9914051766659505,0.978643736330895,0.6469778723259341,0.646977872325934,0.7096759253006971,0.7274841368903207,0.6469778723259341
0.9902242534911986,0.9897289142030518,0.976962633889714,0.6453830115599428,0.6453830115599428,0.7079518660475174,0.7257209353154778,0.6453830115599428
0.9883913906334728,0.9878960989674209,0.9751285612024956,0.643702629613067,0.6437026296130669,0.7061414853644652,0.7238704597354287,0.6437026296130669
0.9864021366957146,0.9859070207197909,0.973141801382947,0.6419368911972758,0.6419368911972759,0.7042448428677563,0.7219327492238607,0.6419368911972758
0.9842568064333687,0.9837619939460187,0.9710026617013136,0.6400859742097439,0.6400859742097439,0.7022620058791627,0.7199078491590281,0.6400859742097439
0.9819557392975067,0.9814613578073631,0.9687114735368036,0.6381500697250745,0.6381500697250744,0.700193049522522,0.7177958113630594,0.6381500697250745
0.9794992993811165,0.9790054760868532,0.9662685923261902,0.6361293819853379,0.6361293819853379,0.698038056822878,0.7155966942458659,0.6361293819853379
0.9768878753614926,0.976394737131765,0.9636743975086055,0.6340241283879225,0.6340241283879224,0.6957971188082054,0.7133105629535558,0.6340241283879224
0.9741218804387363,0.9736295537922083,0.9609292924665301,0.6318345394711964,0.6318345394711963,0.6934703346136815,0.7109374895212565,0.6318345394711963
0.9712017522703763,0.9707103633558386,0.9580337044629893,0.6295608588979783,0.6295608588979783,0.6910578115884595,0.7084775530302349,0.6295608588979783
0.9681279529021188,0.9676376274787004,0.9549880845749661,0.6272033434368163,0.6272033434368163,0.6885596654048893,0.7059308397692013,0.6272033434368163
0.9649009686947391,0.9644118321122153,0.9517929076230398,0.6247622629410727,0.6247622629410727,0.6859760201701366,0.7032974433996777,0.6247622629410727
0.9615213102471255,0.9610334874263251,0.948448672097262,0.6222379003258167,0.6222379003258167,0.6833070085401368,0.7005774651253014,0.6222379003258166
0.9579895123154889,0.9575031277288044,0.944955900079283,0.619630551542522,0.619630551542522,0.6805527718358269,0.6977710138649306,0.619630551542522
0.9543061337287488,0.953821311380751,0.9413151371607363,0.6169405255515739,0.6169405255515739,0.6777134601615848,0.694878206429408,0.6169405255515739
0.9504717573001116,0.9499886207082726,0.9375269523579002,0.6141681442925807,0.6141681442925806,0.6747892325258068,0.6918991677018421,0.6141681442925806
0.9464869897348526,0.9460056619103796,0.9335919380226434,0.6113137426524973,0.6113137426524973,0.6717802569635483,0.6888340308212417,0.6113137426524973
0.9423524615343186,0.9418730649631016,0.9295107097496734,0.6083776684315568,0.6083776684315567,0.6686867106611465,0.6856829373693505,0.6083776684315568
0.9380688268961659,0.9375914835198411,0.9252839062801004,0.605360282307016,0.6053602823070159,0.6655087800827447,0.6824460375605114,0.6053602823070159
0.9336367636108462,0.9331615948079794,0.9209121894013292,0.6022619577947145,0.6022619577947145,0.6622466610986251,0.6791234904343855,0.6022619577947145
0.9290569729543628,0.9285840995217539,0.9163962438433005,0.5990830812084519,0.5990830812084519,0.6589005591152602,0.6757154640513456,0.5990830812084519
0.9243301795773085,0.9238597217114214,0.9117367771710924,0.5958240516171871,0.5958240516171871,0.6554706892069888,0.6722221356903609,0.5958240516171871
0.9194571313902055,0.9189892086687247,0.9069345196739008,0.5924852808000582,0.5924852808000582,0.6519572762492027,0.6686436920491691,0.5924852808000582
0.9144385994451658,0.9139733308086828,0.9019902242504186,0.5890671931992352,0.5890671931992352,0.6483605550529545,0.6649803294465515,0.5890671931992352
0.9092753778138886,0.9088128815477211,0.8969046662906266,0.5855702258706016,0.5855702258706016,0.6446807705008614,0.6612322540264909,0.5855702258706016
