True,Pri-GP(c=1),Pri-GP(c=0.5),PoE,GPoE,BCM,RBCM,MoE
0.0,-0.33234618885925177,-0.33234618885925177,-0.33234618885925177,-0.3323461888592518,-0.9776755058242005,-0.010018735226764098,-0.33234618885925177
0.012578617838741058,0.01256577553950675,0.012208073806108923,-0.3279010727367376,-0.3279010727367376,-0.9645973812748776,-0.009885675141467336,-0.3279010727367376
0.025155245389375847,0.02512878748613208,0.024388712030591092,-0.3233983079783201,-0.32339830797832014,-0.9513487782816741,-0.009751354268208822,-0.3233983079783201
0.03772789267871718,0.037687882143992484,0.03656742499204016,-0.3188267058752396,-0.31882670587523965,-0.9378963544610914,-0.009615664499200774,-0.3188267058752396
0.05029457036336618,0.05024108393588422,0.04874266796557885,-0.3141730701320948,-0.3141730701320948,-0.9242006744274627,-0.009478537439880096,-0.3141730701320947
0.06285329004448194,0.06278642011107298,0.06091295907836972,-0.3094219488877037,-0.3094219488877037,-0.9102154078790763,-0.00933997573361888,-0.3094219488877037
0.07540206458240159,0.07532192127530725,0.07307688671067922,-0.30455537621366396,-0.3045553762136639,-0.8958864733476157,-0.009200096623615489,-0.30455537621366396
0.08793890841106125,0.08784562192583924,0.08523311706800964,-0.2995526073771099,-0.2995526073771099,-0.8811511349145865,-0.009059190760927566,-0.2995526073771099
0.10046183785216795,0.10035556098681417,0.09738040177329076,-0.29438985336438667,-0.29438985336438667,-0.8659370626967808,-0.008917799374495067,-0.29438985336438667
0.11296887142907283,0.11284978233930187,0.10951758529235887,-0.28904002146454316,-0.2890400214645431,-0.8501613724254792,-0.008776812656802776,-0.28904002146454305
0.12545803018029603,0.1253263353391053,0.12164361196848349,-0.2834724700758387,-0.28347247007583876,-0.8337296653869112,-0.008637591350989883,-0.2834724700758387
0.13792733797265358,0.13778327531432322,0.1337575324036096,-0.27765278728542214,-0.2776527872854222,-0.8165350979008059,-0.008502111733087434,-0.2776527872854222
0.1503748218139367,0.15021866403350737,0.14585850888662377,-0.2715426041326839,-0.2715426041326839,-0.7984575201125946,-0.00837313105622122,-0.2715426041326839
0.1627985121650943,0.16263057013419233,0.1579458195339446,-0.2650994547414846,-0.2650994547414846,-0.7793627380735016,-0.008254365558002248,-0.26509945474148466
0.17519644325186898,0.17501706950063764,0.1700188607769487,-0.25827669662750524,-0.2582766966275053,-0.7591019719570327,-0.008150665740467754,-0.25827669662750524
0.18756665337583714,0.18737624557888005,0.18207714780625645,-0.25102350537862855,-0.2510235053786285,-0.7375116079706686,-0.008068163170488711,-0.2510235053786286
0.19990718522480458,0.1997061896167067,0.1941203125669469,-0.2432849584871569,-0.24328495848715692,-0.714413373136196,-0.00801434886619062,-0.24328495848715692
0.21221608618250787,0.21200500081600698,0.20614809889367247,-0.23500222329838358,-0.2350022232983836,-0.6896151012864237,-0.007998024840099023,-0.23500222329838355
0.22449140863757258,0.22427078638520373,0.21816035438270084,-0.22611286374659986,-0.22611286374659986,-0.6629123050768109,-0.008029047111742911,-0.22611286374659983
0.23673121029167973,0.2365016614801785,0.23015701862131652,-0.2165512796975006,-0.21655127969750065,-0.6340908205258337,-0.008117750249352643,-0.2165512796975006
0.2489335544668916,0.24869574902334032,0.24213810743569364,-0.20624929123469382,-0.2062492912346938,-0.6029308427406446,-0.00827391028874263,-0.20624929123469382
0.2610965104120882,0.2608511793922979,0.25410369287786283,-0.19513687806119023,-0.19513687806119018,-0.5692127150133756,-0.008505065005143536,-0.19513687806119018
0.27321815360846585,0.27296608997200755,0.2660538787517525,-0.18314308129716897,-0.18314308129716897,-0.532724853641254,-0.008813968457193544,-0.18314308129716894
0.28529656607404974,0.2850386245672956,0.27798877157784774,-0.17019707133011622,-0.17019707133011625,-0.49327416596311274,-0.00919491100655733,-0.1701970713301162
0.2973298366671723,0.29706693267628304,0.289908447015329,-0.1562293810288842,-0.15622938102888415,-0.450699220486673,-0.009628587164652473,-0.15622938102888417
0.30931606138886886,0.3090491686294244,0.3018129118982682,-0.14117329861875474,-0.14117329861875474,-0.40488622200358515,-0.010075142495470195,-0.14117329861875474
0.32125334368414366,0.32098349060355025,0.3137020621962209,-0.1249664089158918,-0.12496640891589181,-0.3557874989563792,-0.01046497999213906,-0.12496640891589178
0.33313979474205757,0.33286805952536047,0.32557563737596834,-0.10755226556029779,-0.10755226556029779,-0.3034417058200711,-0.010686863660103458,-0.10755226556029777
0.34497353379459045,0.3447010378841234,0.33743317181577737,-0.08888217052818842,-0.08888217052818842,-0.24799429164444473,-0.010572842995172697,-0.08888217052818843
0.3567526884142317,0.3564805884787318,0.3492739441009516,-0.06891703074540047,-0.06891703074540044,-0.18971605153067042,-0.009879583902115803,-0.06891703074540043
0.3684753948102499,0.36820487312954964,0.36109692520329645,-0.04762925529305318,-0.04762925529305317,-0.12901689586516898,-0.008265927304589882,-0.04762925529305316
0.38013979812359666,0.3798720513904477,0.3729007267104104,-0.025004650751281225,-0.025004650751281235,-0.06645155056216664,-0.005267091282323921,-0.02500465075128124
0.3917440527203973,0.39148027930084334,0.3846835504159008,-0.0010442669403186635,-0.0010442669403186642,-0.0027139911023918335,-0.00026720409755957516,-0.0010442669403186516
0.4032863224839812,0.4030277082211847,0.39644314070098924,0.024233859028063905,0.024233859028063912,0.06138176500110208,0.007525710853712335,0.0242338590280639
0.41476478110540693,0.41451248379793487,0.40817674122390696,0.05079311560483105,0.05079311560483105,0.12493524351632686,0.01909397493012098,0.05079311560483103
